EpochTime,X,Y,Z,ClockBias,HDOP,VDOP,PDOP,GDOP
522000.000000,-1641888.953790,-3664875.603548,4939966.743654,1.127891,0.784053,0.939070,1.223353,1.325977
522002.000000,-1641889.066848,-3664875.661086,4939966.856648,1.117086,0.784037,0.939024,1.223307,1.325920
522003.000000,-1641889.028466,-3664875.400682,4939966.639071,1.390157,0.784029,0.939001,1.223284,1.325892
522004.000000,-1641889.198207,-3664875.413225,4939967.098452,1.247789,0.784021,0.938977,1.223261,1.325863
522007.000000,-1641889.471351,-3664875.860011,4939967.337393,0.800009,0.783996,0.938907,1.223191,1.325778
522008.000000,-1641889.376349,-3664875.667473,4939967.156410,0.941416,0.783988,0.938884,1.223168,1.325750
522009.000000,-1641889.231273,-3664875.278067,4939966.583072,1.279321,0.783980,0.938860,1.223145,1.325721
522011.000000,-1641889.192542,-3664875.202146,4939966.660150,1.342354,0.783963,0.938813,1.223098,1.325664
522012.000000,-1641889.244842,-3664875.240322,4939966.648189,1.391269,0.783955,0.938789,1.223074,1.325635
522013.000000,-1641889.242153,-3664875.200231,4939966.585384,1.303686,0.783947,0.938766,1.223051,1.325606
522014.000000,-1641889.137979,-3664875.604369,4939966.762330,1.129349,0.783939,0.938742,1.223027,1.325578
522016.000000,-1641889.370256,-3664875.311097,4939965.862625,1.559063,0.783922,0.938694,1.222980,1.325520
522017.000000,-1641889.356113,-3664875.060877,4939966.213278,1.755544,0.783914,0.938670,1.222957,1.325491
522018.000000,-1641888.999554,-3664875.317160,4939966.075216,1.658608,0.783906,0.938646,1.222933,1.325462
522019.000000,-1641889.212055,-3664875.460219,4939966.273662,1.495878,0.783898,0.938622,1.222910,1.325433
522021.000000,-1641889.263084,-3664875.487831,4939965.959696,1.558332,0.783881,0.938574,1.222862,1.325375
522022.000000,-1641889.142766,-3664875.148591,4939966.061701,1.821681,0.783873,0.938550,1.222838,1.325346
522023.000000,-1641889.117991,-3664875.091221,4939965.987682,1.782774,0.783865,0.938526,1.222814,1.325316
522026.000000,-1641888.972580,-3664874.731100,4939965.901491,2.109723,0.783840,0.938453,1.222743,1.325229
522027.000000,-1641889.050117,-3664874.963208,4939965.976775,1.824637,0.783832,0.938429,1.222719,1.325199
522028.000000,-1641889.164186,-3664874.949192,4939966.271913,1.542480,0.783823,0.938405,1.222695,1.325170
522030.000000,-1641889.127492,-3664874.643480,4939966.101693,1.909230,0.783807,0.938356,1.222647,1.325111
522031.000000,-1641888.925039,-3664874.644499,4939965.826536,1.901900,0.783798,0.938331,1.222623,1.325081
522032.000000,-1641889.181144,-3664875.183382,4939966.294084,1.644875,0.783790,0.938307,1.222598,1.325052
522033.000000,-1641889.220325,-3664875.365128,4939966.120615,1.583560,0.783782,0.938282,1.222574,1.325022
